lambda_m,alpha_max
2.4022488679628628e-05,69.79974252228799
2.4472290778783615e-05,65.15586103639374
2.4930515066459688e-05,56.774435386821025
2.5397319241474995e-05,52.997147106985764
2.587286395543353e-05,46.17977655810208
2.635731286801328e-05,46.17977655810208
2.6850832703290414e-05,37.56218355015583
2.7353593307117558e-05,35.06311518034586
2.786576770557641e-05,30.552716756444763
2.838753216452541e-05,28.519998718212467
2.8919066250261552e-05,24.851284269805557
2.946055289131888e-05,23.197891080219023
3.001217844142355e-05,20.213794235774902
3.057413274362764e-05,18.86894020882467
3.114660919564448e-05,17.613561335955243
3.172980481640635e-05,16.441704701060253
3.232392031386938e-05,15.347813444464123
3.2929160154087376e-05,14.326700412694024
3.354573263157932e-05,14.326700412694024
3.417384994101413e-05,12.483762994590869
3.48137282502383e-05,12.483762994590869
3.546558777466999e-05,10.154172062948112
3.6129652853087115e-05,8.847974326860614
3.680615202483374e-05,7.709801370655077
3.749531810847215e-05,6.718039065111661
3.819738828190838e-05,6.271077857109719
3.891260416401682e-05,5.464387991209716
3.9641211897794405e-05,5.100834068127303
4.0383462235071e-05,4.761467932442329
4.113961062280591e-05,3.1502053913528876
4.1909917291001e-05,2.940617505136881
4.269464734225877e-05,2.562346593033208
4.349407084301851e-05,2.232735148777283
4.430846291649997e-05,1.9455237859466732
4.5138103837387304e-05,1.6952583040389262
4.59832791282868e-05,1.5824702282172851
4.684427965798932e-05,1.3789067060798474
4.772140174157407e-05,1.2015288946155827
4.861494724238572e-05,1.1215893764047442
4.9525223675921004e-05,0.9773119803553492
5.0452544315661504e-05,0.8515939318253837
5.1397228300886526e-05,0.7949361111716613
5.235960074650628e-05,0.6926782665822973
5.333999285495048e-05,0.6035745190745848
5.433874203015208e-05,0.5634178016827839
5.5356191993666086e-05,0.4909416753706422
5.639269290296177e-05,0.42778862843143783
5.74486014719297e-05,0.3993272098120998
5.852428109364622e-05,0.34795913231831904
5.9620101965435615e-05,0.34795913231831904
6.073644121627401e-05,0.283026592379659
6.187368303657928e-05,0.2641964089882525
6.303221881043124e-05,0.2466190259205639
6.421244725026693e-05,0.23021109249335894
6.541477453409849e-05,0.21489480346928372
6.663961444529981e-05,0.16316409058889902
6.788738851501116e-05,0.15230853909160533
6.915852616721024e-05,0.14217522370573188
7.045346486649897e-05,0.12388629239937776
7.177265026865802e-05,0.11564395168521471
7.311653637401962e-05,0.10794998625238925
7.44855856837137e-05,0.10076791187152839
7.588026935883745e-05,0.09406367166372262
7.730106738260734e-05,0.0819636447768865
7.874846872554595e-05,0.07651048064273179
8.022297151376162e-05,0.07142012369162701
8.17250832003807e-05,0.0666684358179086
8.325532074018731e-05,0.06223288486026066
8.481421076753552e-05,0.05809243775583086
8.640228977759107e-05,0.054227460802962923
8.802010431096683e-05,0.05061962655959843
8.966821114181707e-05,0.04410809206876526
9.134717746945094e-05,0.04117351459420149
9.305758111353655e-05,0.038434178957366595
9.48000107129583e-05,0.035877095426167765
9.657506592839751e-05,0.03349013849485758
9.838335764870819e-05,0.03126198938575962
0.00010022550820115416,0.03126198938575962
0.00010210215156558561,0.029182082376440918
0.00010401393359262395,0.027240554697817776
0.00010596151222593204,0.02542819976561596
0.00010794555772864794,0.023736423523411945
0.00010996675291405693,0.022157203690236778
0.0001120257933805822,0.020683051719498167
0.00011412338775117807,0.020683051719498167
0.00011626025791720264,0.019306977288832534
0.00011843713928685885,0.019306977288832534
0.00012065478103828656,0.018022455152500002
0.00012291394637739355,0.018022455152500002
0.0001252154128005149,0.014659290687795343
0.00012755997236198928,0.014659290687795343
0.0001299484319467464,0.013683986106984673
0.00013238161354799794,0.012773570001722294
0.00013486035455012867,0.011923725244475075
0.00013738550801688327,0.011130421932675228
0.00013995794298495034,0.011130421932675228
0.00014257854476304297,0.010389898279212797
0.00014524821523658022,0.009698642774312455
0.0001479678731780712,0.009698642774312455
0.00015073845456331446,0.009053377534207164
