lambda_m,m_c_eV,alpha_max,theta_max_rad,kappa_vc_max_GeV
5.0452544315661504e-05,0.0039111403215941615,0.8515939318253837,2.1974356605072202e-16,1.3957289510335495e-14
5.1397228300886526e-05,0.0038392533395929527,0.7949361111716613,2.123078253742375e-16,1.3484999071026263e-14
5.235960074650628e-05,0.003768687644417662,0.6926782665822973,1.9818266754502267e-16,1.2587821871508046e-14
5.333999285495048e-05,0.0036994189507411246,0.6035745190745848,1.8499727763697862e-16,1.1750335215763377e-14
5.433874203015208e-05,0.0036314234196018935,0.5634178016827839,1.7873729102127648e-16,1.1352724277266036e-14
5.5356191993666086e-05,0.00356467765019997,0.4909416753706422,1.6684563115809639e-16,1.0597410515631122e-14
5.639269290296177e-05,0.003499158671843392,0.42778862843143783,1.5574514124883927e-16,9.892348910622414e-15
5.74486014719297e-05,0.0034348439360428486,0.3993272098120998,1.5047499613031732e-16,9.557609002179708e-15
5.852428109364622e-05,0.0033717113087515242,0.34795913231831904,1.4046366910577343e-16,8.921726950315894e-15
5.9620101965435615e-05,0.003309739062747647,0.34795913231831904,1.4046366910577343e-16,8.921726950315894e-15
6.073644121627401e-05,0.0032489058701570296,0.283026592379659,1.266815913514303e-16,8.046340914089832e-15
6.187368303657928e-05,0.0031891907951130324,0.2641964089882525,1.2239490629073464e-16,7.774066710539547e-15
6.303221881043124e-05,0.0031305732865514204,0.2466190259205639,1.1825327520839183e-16,7.511005793215944e-15
6.421244725026693e-05,0.003073033171137699,0.23021109249335894,1.1425178972966995e-16,7.256846400512574e-15
6.541477453409849e-05,0.003016550646324405,0.21489480346928372,1.1038570757071399e-16,7.0112873202943335e-15
6.663961444529981e-05,0.0029611062735360374,0.16316409058889902,9.618607017719318e-17,6.109379457392859e-15
6.788738851501116e-05,0.0029066809714792217,0.15230853909160533,9.293130059562264e-17,5.902648665880503e-15
6.915852616721024e-05,0.002853256009575831,0.14217522370573188,8.978666676457807e-17,5.7029132853517574e-15
7.045346486649897e-05,0.002800813001516837,0.12388629239937776,8.381302525243303e-17,5.3234899169482364e-15
7.177265026865802e-05,0.002749333898934614,0.11564395168521471,8.09769380245372e-17,5.143352262737373e-15
7.311653637401962e-05,0.002698800985191578,0.10794998625238925,7.823681906338767e-17,4.969310153924522e-15
7.44855856837137e-05,0.002649196869282933,0.10076791187152839,7.55894209694926e-17,4.801157327838707e-15
7.588026935883745e-05,0.002600504479851562,0.09406367166372262,7.303160622971985e-17,4.6386945013795635e-15
7.730106738260734e-05,0.0025527070593128493,0.0819636447768865,6.817270400745134e-17,4.330075203725314e-15
7.874846872554595e-05,0.0025057881580875397,0.07651048064273179,6.586585809007368e-17,4.183552978282118e-15
8.022297151376162e-05,0.0024597316289405972,0.07142012369162701,6.363707183255537e-17,4.041988810502755e-15
8.17250832003807e-05,0.0024145216214240674,0.0666684358179086,6.148370383156248e-17,3.9052149283258684e-15
8.325532074018731e-05,0.0023701425764221496,0.06223288486026066,5.940320206426274e-17,3.773069236805306e-15
8.481421076753552e-05,0.0023265792207964654,0.05809243775583086,5.739310086384484e-17,3.645395126006405e-15
8.640228977759107e-05,0.0022838165621297903,0.054227460802962923,5.545101799738062e-17,3.522041285402732e-15
8.802010431096683e-05,0.002241839883566397,0.05061962655959843,5.357465184256713e-17,3.4028615245532988e-15
8.966821114181707e-05,0.002200634738747185,0.04410809206876526,5.001024995776819e-17,3.1764640471143413e-15
9.134717746945094e-05,0.002160186946837976,0.04117351459420149,4.8317989945175615e-17,3.068978019891744e-15
9.305758111353655e-05,0.0021204825876491216,0.038434178957366595,4.6682993072692123e-17,2.9651291331740425e-15
9.48000107129583e-05,0.0020815079968448487,0.035877095426167765,4.510332165509741e-17,2.864794312442671e-15
9.657506592839751e-05,0.002043249761240668,0.03349013849485758,4.3577103575074274e-17,2.767854647807055e-15
9.838335764870819e-05,0.002005694714187171,0.03126198938575962,4.2102530064504395e-17,2.6741952530808178e-15
0.00010022550820115416,0.00196882993103873,0.03126198938575962,4.2102530064504395e-17,2.6741952530808178e-15
0.00010210215156558561,0.0019326427247054285,0.029182082376440918,4.0677853560841595e-17,2.583705129626626e-15
0.00010401393359262395,0.0018971206412867867,0.027240554697817776,3.930138563602143e-17,2.496277034808272e-15
0.00010596151222593204,0.0018622514557857359,0.02542819976561596,3.7971494995453085e-17,2.411807354894124e-15
0.00010794555772864794,0.0018280231679013402,0.023736423523411945,3.668660554472193e-17,2.3301959822613015e-15
0.00010996675291405693,0.0017944239978988769,0.022157203690236778,3.544519452171131e-17,2.2513461967550373e-15
0.0001120257933805822,0.0017614423825558314,0.020683051719498167,3.4245790691930196e-17,2.1751645510626394e-15
0.00011412338775117807,0.0017290669711823644,0.020683051719498167,3.4245790691930196e-17,2.1751645510626394e-15
0.00011626025791720264,0.0016972866217149704,0.019306977288832534,3.308697260490795e-17,2.101560759966206e-15
0.00011843713928685885,0.001666090396881904,0.019306977288832534,3.308697260490795e-17,2.101560759966206e-15
0.00012065478103828656,0.0016354675604390973,0.018022455152500002,3.1967366909589195e-17,2.0304475933428097e-15
0.00012291394637739355,0.0016054075734752633,0.018022455152500002,3.1967366909589195e-17,2.0304475933428097e-15
0.0001252154128005149,0.0015759000907848986,0.014659290687795343,2.8830778358582355e-17,1.8312232189140214e-15
0.00012755997236198928,0.0015469349573079723,0.014659290687795343,2.8830778358582355e-17,1.8312232189140214e-15
0.0001299484319467464,0.0015185022046350334,0.013683986106984673,2.7855194885407397e-17,1.7692578052215063e-15
0.00013238161354799794,0.0014905920475765668,0.012773570001722294,2.6912623462801966e-17,1.7093891935214663e-15
0.00013486035455012867,0.0014631948807953933,0.011923725244475075,2.6001947020302276e-17,1.6515464316757035e-15
0.00013738550801688327,0.0014363012755009832,0.011130421932675228,2.512208628716924e-17,1.595660968443168e-15
0.00013995794298495034,0.0014099019762045127,0.011130421932675228,2.512208628716924e-17,1.595660968443168e-15
0.00014257854476304297,0.0013839878975335713,0.010389898279212797,2.4271998513311325e-17,1.541666572237762e-15
0.00014524821523658022,0.001358550121105405,0.009698642774312455,2.3450676233489353e-17,1.4894992526352486e-15
0.0001479678731780712,0.001333579892457654,0.009698642774312455,2.3450676233489353e-17,1.4894992526352486e-15
0.00015073845456331446,0.0013090686180354664,0.009053377534207164,2.2657146073338157e-17,1.4390971845362142e-15
0.00015356091289351495,0.001285007862234019,0.008451042757649919,2.1890467595790904e-17,1.3904006348952556e-15
0.00015643621952343267,0.001261389344495392,0.008451042757649919,2.1890467595790904e-17,1.3904006348952556e-15
0.00015936536399567818,0.0012382049364587859,0.00788878221655667,2.1149732186537936e-17,1.343351891929493e-15
0.0001623493543812641,0.0012154466591631392,0.00788878221655667,2.1149732186537936e-17,1.343351891929493e-15
0.0001653892176265356,0.0011931066803011479,0.0073639297119787155,2.043406197719996e-17,1.2978951967225586e-15
